collection_name,field_name,field_type
categories,_id,ObjectId
categories,categoryName,str
categories,categoryImage,str
categories,createDate,datetime
categories,updatedDate,datetime
categories,createdByid,ObjectId
categories,updatedByid,ObjectId
categories,status,str
categories,__v,int
otps,_id,ObjectId
otps,loginID,ObjectId
otps,mobile,str
otps,otp,str
otps,reason,str
otps,validupto,datetime
otps,status,str
otps,createdAt,datetime
otps,updatedAt,datetime
otps,__v,int
products,_id,ObjectId
products,productName,str
products,productDesc,str
products,productTags,str
products,unitID,ObjectId
products,catID,ObjectId
products,hsnCode,str
products,cGSTper,int
products,sGSTper,int
products,iGSTper,int
products,createDate,datetime
products,updatedDate,datetime
products,createdByid,ObjectId
products,updatedByid,ObjectId
products,status,str
products,productVariants,list
products,productImages,list
products,__v,int
users,_id,ObjectId
users,image,str
users,__v,int
variantoptions,_id,ObjectId
variantoptions,productVariantID,ObjectId
variantoptions,featureOptionID,ObjectId
variantoptions,createDate,datetime
variantoptions,updatedDate,datetime
variantoptions,createdByid,ObjectId
variantoptions,updatedByid,ObjectId
variantoptions,status,str
variantoptions,__v,int
states,_id,ObjectId
states,stateName,str
states,createDate,datetime
states,updatedDate,datetime
states,createdByid,str
states,updatedByid,str
states,status,str
states,__v,int
orderdetails,_id,ObjectId
orderdetails,price,int
orderdetails,quantity,int
orderdetails,iGSTper,int
orderdetails,iGSTAmount,float
orderdetails,cGSTper,int
orderdetails,cGSTAmount,float
orderdetails,sGSTper,int
orderdetails,sGSTAmount,float
orderdetails,unitID,ObjectId
orderdetails,variantID,ObjectId
orderdetails,userID,ObjectId
orderdetails,orderID,ObjectId
orderdetails,updatedDate,datetime
orderdetails,status,str
orderdetails,__v,int
featuremasters,_id,ObjectId
featuremasters,featureName,str
featuremasters,createDate,datetime
featuremasters,updatedDate,datetime
featuremasters,createdByid,ObjectId
featuremasters,updatedByid,ObjectId
featuremasters,status,str
featuremasters,__v,int
units,_id,ObjectId
units,unitName,str
units,createdDate,datetime
units,updatedDate,datetime
units,createdByid,ObjectId
units,updatedByid,ObjectId
units,status,str
units,__v,int
customers,_id,ObjectId
customers,customerName,str
customers,contactPerson,str
customers,customerType,str
customers,GSTNo,str
customers,loginID,ObjectId
customers,customerGroupID,NoneType
customers,createDate,datetime
customers,updatedDate,datetime
customers,createdByid,ObjectId
customers,updatedByid,ObjectId
customers,status,str
customers,__v,int
customergroups,_id,ObjectId
customergroups,customerGroupName,str
customergroups,createDate,datetime
customergroups,updatedDate,datetime
customergroups,createdByid,str
customergroups,updatedByid,str
customergroups,status,str
customergroups,__v,int
companydetails,_id,ObjectId
companydetails,name,str
companydetails,email,str
companydetails,mobile,str
companydetails,address,str
companydetails,gstNo,str
companydetails,website,str
companydetails,__v,int
featureoptions,_id,ObjectId
featureoptions,featureOptionName,str
featureoptions,featureMasterID,ObjectId
featureoptions,createDate,datetime
featureoptions,updatedDate,datetime
featureoptions,createdByid,ObjectId
featureoptions,updatedByid,ObjectId
featureoptions,status,str
featureoptions,__v,int
productvariants,_id,ObjectId
productvariants,productID,ObjectId
productvariants,SKU,str
productvariants,regularPrice,int
productvariants,offerPrice,int
productvariants,quantityIncreament,int
productvariants,minimumQuantity,int
productvariants,createDate,datetime
productvariants,updatedDate,datetime
productvariants,createdByid,ObjectId
productvariants,updatedByid,ObjectId
productvariants,status,str
productvariants,variantOptions,list
productvariants,__v,int
quotationmasters,_id,ObjectId
quotationmasters,quotationDate,datetime
quotationmasters,totalNoOfItems,int
quotationmasters,itemAmount,int
quotationmasters,otherCharges,int
quotationmasters,totalAmount,int
quotationmasters,remarks,str
quotationmasters,status,str
quotationmasters,emailStatus,str
quotationmasters,customerId,ObjectId
quotationmasters,createdAt,datetime
quotationmasters,updatedAt,datetime
productfeatures,_id,ObjectId
productfeatures,productID,ObjectId
productfeatures,featureOptionID,ObjectId
productfeatures,regularPrice,int
productfeatures,offerPrice,int
productfeatures,createDate,datetime
productfeatures,updatedDate,datetime
productfeatures,createdByid,ObjectId
productfeatures,updatedByid,ObjectId
productfeatures,status,str
productfeatures,__v,int
cities,_id,ObjectId
cities,cityName,str
cities,stateID,str
cities,createDate,datetime
cities,updatedDate,datetime
cities,createdByid,str
cities,updatedByid,ObjectId
cities,status,str
cities,__v,int
payments,_id,ObjectId
payments,amount,int
payments,method,str
payments,status,str
payments,createDate,datetime
payments,updatedDate,datetime
payments,orderID,ObjectId
payments,__v,int
productimages,_id,ObjectId
productimages,productImageLink,str
productimages,productID,ObjectId
productimages,isFeature,bool
productimages,createDate,datetime
productimages,updatedDate,datetime
productimages,createdByid,ObjectId
productimages,updatedByid,ObjectId
productimages,status,str
productimages,__v,int
inquiries,_id,ObjectId
inquiries,name,str
inquiries,mobile,int
inquiries,email,str
inquiries,subject,str
inquiries,message,str
inquiries,createdDate,datetime
inquiries,__v,int
ordermasters,_id,ObjectId
ordermasters,customerID,ObjectId
ordermasters,orderDate,datetime
ordermasters,orderType,str
ordermasters,totalAmount,int
ordermasters,totalSGST,float
ordermasters,totalCGST,float
ordermasters,totalIGST,float
ordermasters,totalTax,float
ordermasters,totalDiscount,int
ordermasters,netAmount,float
ordermasters,paymentStatus,str
ordermasters,orderStatus,str
ordermasters,createDate,datetime
ordermasters,updatedDate,datetime
ordermasters,createdByid,ObjectId
ordermasters,updatedByid,ObjectId
ordermasters,status,str
ordermasters,__v,int
customeradds,_id,ObjectId
customeradds,addName,str
customeradds,addLine1,str
customeradds,addLine2,NoneType
customeradds,addLine3,NoneType
customeradds,addLine4,NoneType
customeradds,pinCode,int
customeradds,addType,str
customeradds,customerID,ObjectId
customeradds,stateID,ObjectId
customeradds,cityID,ObjectId
customeradds,createDate,datetime
customeradds,updatedDate,datetime
customeradds,createdByid,ObjectId
customeradds,updatedByid,ObjectId
customeradds,status,str
customeradds,__v,int
carts,_id,ObjectId
carts,price,int
carts,quantity,int
carts,iGSTper,int
carts,cGSTper,int
carts,sGSTper,int
carts,unitID,ObjectId
carts,variantID,ObjectId
carts,userID,ObjectId
carts,createDate,datetime
carts,updatedDate,datetime
carts,status,str
carts,__v,int
